2026-05-03 11:19:02: Device: cuda
2026-05-03 11:19:02: Dataset: MODELNET40_H5
2026-05-03 11:19:02: Model: PointNet
2026-05-03 11:19:02: TEST_ONLY: False
The size of train data is 9841
Classes: {'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
The size of test data is 2468
Classes: {'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
2026-05-03 11:19:02: eval_it_pool: [4000]
2026-05-03 11:19:02: 
================== Exp 0 ==================

/root/workspace/varify_sampling/start_original.py:195: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  label_syn = torch.tensor(
2026-05-03 11:19:18: Initialize synthetic data from random real samples
2026-05-03 11:19:18: [2026-05-03 11:19:18] training begins
[  0.00%] Iter 0000/4000 | loss = 0.0116
[  0.25%] Iter 0010/4000 | loss = 0.0114
[  0.50%] Iter 0020/4000 | loss = 0.0095
[  0.75%] Iter 0030/4000 | loss = 0.0085
[  1.00%] Iter 0040/4000 | loss = 0.0054
[  1.25%] Iter 0050/4000 | loss = 0.0069
[  1.50%] Iter 0060/4000 | loss = 0.0075
[  1.75%] Iter 0070/4000 | loss = 0.0069
[  2.00%] Iter 0080/4000 | loss = 0.0047
[  2.25%] Iter 0090/4000 | loss = 0.0053
[  2.50%] Iter 0100/4000 | loss = 0.0058
[  2.75%] Iter 0110/4000 | loss = 0.0043
[  3.00%] Iter 0120/4000 | loss = 0.0048
[  3.25%] Iter 0130/4000 | loss = 0.0043
[  3.50%] Iter 0140/4000 | loss = 0.0043
[  3.75%] Iter 0150/4000 | loss = 0.0042
[  4.00%] Iter 0160/4000 | loss = 0.0041
[  4.25%] Iter 0170/4000 | loss = 0.0045
[  4.50%] Iter 0180/4000 | loss = 0.0056
[  4.75%] Iter 0190/4000 | loss = 0.0036
[  5.00%] Iter 0200/4000 | loss = 0.0037
[  5.25%] Iter 0210/4000 | loss = 0.0053
[  5.50%] Iter 0220/4000 | loss = 0.0041
[  5.75%] Iter 0230/4000 | loss = 0.0035
[  6.00%] Iter 0240/4000 | loss = 0.0047
[  6.25%] Iter 0250/4000 | loss = 0.0044
[  6.50%] Iter 0260/4000 | loss = 0.0035
[  6.75%] Iter 0270/4000 | loss = 0.0044
[  7.00%] Iter 0280/4000 | loss = 0.0043
[  7.25%] Iter 0290/4000 | loss = 0.0039
[  7.50%] Iter 0300/4000 | loss = 0.0036
[  7.75%] Iter 0310/4000 | loss = 0.0035
[  8.00%] Iter 0320/4000 | loss = 0.0048
[  8.25%] Iter 0330/4000 | loss = 0.0029
[  8.50%] Iter 0340/4000 | loss = 0.0029
[  8.75%] Iter 0350/4000 | loss = 0.0041
[  9.00%] Iter 0360/4000 | loss = 0.0031
[  9.25%] Iter 0370/4000 | loss = 0.0035
[  9.50%] Iter 0380/4000 | loss = 0.0043
[  9.75%] Iter 0390/4000 | loss = 0.0040
[ 10.00%] Iter 0400/4000 | loss = 0.0035
[ 10.25%] Iter 0410/4000 | loss = 0.0046
[ 10.50%] Iter 0420/4000 | loss = 0.0042
[ 10.75%] Iter 0430/4000 | loss = 0.0039
[ 11.00%] Iter 0440/4000 | loss = 0.0031
[ 11.25%] Iter 0450/4000 | loss = 0.0030
[ 11.50%] Iter 0460/4000 | loss = 0.0039
[ 11.75%] Iter 0470/4000 | loss = 0.0040
[ 12.00%] Iter 0480/4000 | loss = 0.0032
[ 12.25%] Iter 0490/4000 | loss = 0.0036
[ 12.50%] Iter 0500/4000 | loss = 0.0058
[ 12.75%] Iter 0510/4000 | loss = 0.0043
[ 13.00%] Iter 0520/4000 | loss = 0.0029
[ 13.25%] Iter 0530/4000 | loss = 0.0043
[ 13.50%] Iter 0540/4000 | loss = 0.0031
[ 13.75%] Iter 0550/4000 | loss = 0.0034
[ 14.00%] Iter 0560/4000 | loss = 0.0043
[ 14.25%] Iter 0570/4000 | loss = 0.0031
[ 14.50%] Iter 0580/4000 | loss = 0.0034
[ 14.75%] Iter 0590/4000 | loss = 0.0035
[ 15.00%] Iter 0600/4000 | loss = 0.0042
[ 15.25%] Iter 0610/4000 | loss = 0.0033
[ 15.50%] Iter 0620/4000 | loss = 0.0038
[ 15.75%] Iter 0630/4000 | loss = 0.0038
[ 16.00%] Iter 0640/4000 | loss = 0.0033
[ 16.25%] Iter 0650/4000 | loss = 0.0034
[ 16.50%] Iter 0660/4000 | loss = 0.0033
[ 16.75%] Iter 0670/4000 | loss = 0.0038
[ 17.00%] Iter 0680/4000 | loss = 0.0034
[ 17.25%] Iter 0690/4000 | loss = 0.0039
[ 17.50%] Iter 0700/4000 | loss = 0.0035
[ 17.75%] Iter 0710/4000 | loss = 0.0032
