2026-04-26 22:13:18: Device: cuda
2026-04-26 22:13:18: Dataset: MODELNET40_H5
2026-04-26 22:13:18: Model: PointNet
2026-04-26 22:13:18: TEST_ONLY: False
The size of train data is 9841
Classes: {'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
The size of test data is 2468
Classes: {'airplane': 0, 'bathtub': 1, 'bed': 2, 'bench': 3, 'bookshelf': 4, 'bottle': 5, 'bowl': 6, 'car': 7, 'chair': 8, 'cone': 9, 'cup': 10, 'curtain': 11, 'desk': 12, 'door': 13, 'dresser': 14, 'flower_pot': 15, 'glass_box': 16, 'guitar': 17, 'keyboard': 18, 'lamp': 19, 'laptop': 20, 'mantel': 21, 'monitor': 22, 'night_stand': 23, 'person': 24, 'piano': 25, 'plant': 26, 'radio': 27, 'range_hood': 28, 'sink': 29, 'sofa': 30, 'stairs': 31, 'stool': 32, 'table': 33, 'tent': 34, 'toilet': 35, 'tv_stand': 36, 'vase': 37, 'wardrobe': 38, 'xbox': 39}
2026-04-26 22:13:18: eval_it_pool: [1500]
2026-04-26 22:13:18: 
================== Exp 0 ==================

/root/workspace/varify_sampling/start_curve_NoR2.py:192: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  label_syn = torch.tensor(
2026-04-26 22:13:32: Initialize synthetic data from random real samples
2026-04-26 22:13:32: [2026-04-26 22:13:32] training begins
[  0.00%] Iter 0000/1500 | loss = 0.0048
[  0.67%] Iter 0010/1500 | loss = 0.0048
[  1.33%] Iter 0020/1500 | loss = 0.0048
[  2.00%] Iter 0030/1500 | loss = 0.0048
[  2.67%] Iter 0040/1500 | loss = 0.0043
[  3.33%] Iter 0050/1500 | loss = 0.0042
[  4.00%] Iter 0060/1500 | loss = 0.0049
[  4.67%] Iter 0070/1500 | loss = 0.0044
[  5.33%] Iter 0080/1500 | loss = 0.0045
[  6.00%] Iter 0090/1500 | loss = 0.0047
[  6.67%] Iter 0100/1500 | loss = 0.0043
[  7.33%] Iter 0110/1500 | loss = 0.0044
[  8.00%] Iter 0120/1500 | loss = 0.0048
[  8.67%] Iter 0130/1500 | loss = 0.0038
[  9.33%] Iter 0140/1500 | loss = 0.0043
[ 10.00%] Iter 0150/1500 | loss = 0.0047
[ 10.67%] Iter 0160/1500 | loss = 0.0041
[ 11.33%] Iter 0170/1500 | loss = 0.0043
[ 12.00%] Iter 0180/1500 | loss = 0.0041
[ 12.67%] Iter 0190/1500 | loss = 0.0041
[ 13.33%] Iter 0200/1500 | loss = 0.0040
[ 14.00%] Iter 0210/1500 | loss = 0.0043
[ 14.67%] Iter 0220/1500 | loss = 0.0038
[ 15.33%] Iter 0230/1500 | loss = 0.0039
[ 16.00%] Iter 0240/1500 | loss = 0.0043
[ 16.67%] Iter 0250/1500 | loss = 0.0040
[ 17.33%] Iter 0260/1500 | loss = 0.0040
[ 18.00%] Iter 0270/1500 | loss = 0.0040
[ 18.67%] Iter 0280/1500 | loss = 0.0041
[ 19.33%] Iter 0290/1500 | loss = 0.0042
[ 20.00%] Iter 0300/1500 | loss = 0.0043
[ 20.67%] Iter 0310/1500 | loss = 0.0041
[ 21.33%] Iter 0320/1500 | loss = 0.0040
[ 22.00%] Iter 0330/1500 | loss = 0.0040
[ 22.67%] Iter 0340/1500 | loss = 0.0041
[ 23.33%] Iter 0350/1500 | loss = 0.0043
[ 24.00%] Iter 0360/1500 | loss = 0.0039
[ 24.67%] Iter 0370/1500 | loss = 0.0040
[ 25.33%] Iter 0380/1500 | loss = 0.0039
[ 26.00%] Iter 0390/1500 | loss = 0.0039
[ 26.67%] Iter 0400/1500 | loss = 0.0039
[ 27.33%] Iter 0410/1500 | loss = 0.0047
[ 28.00%] Iter 0420/1500 | loss = 0.0041
[ 28.67%] Iter 0430/1500 | loss = 0.0041
[ 29.33%] Iter 0440/1500 | loss = 0.0037
[ 30.00%] Iter 0450/1500 | loss = 0.0038
[ 30.67%] Iter 0460/1500 | loss = 0.0047
[ 31.33%] Iter 0470/1500 | loss = 0.0042
[ 32.00%] Iter 0480/1500 | loss = 0.0039
[ 32.67%] Iter 0490/1500 | loss = 0.0041
[ 33.33%] Iter 0500/1500 | loss = 0.0040
[ 34.00%] Iter 0510/1500 | loss = 0.0038
[ 34.67%] Iter 0520/1500 | loss = 0.0039
[ 35.33%] Iter 0530/1500 | loss = 0.0042
[ 36.00%] Iter 0540/1500 | loss = 0.0042
[ 36.67%] Iter 0550/1500 | loss = 0.0040
[ 37.33%] Iter 0560/1500 | loss = 0.0042
[ 38.00%] Iter 0570/1500 | loss = 0.0039
[ 38.67%] Iter 0580/1500 | loss = 0.0040
